"Geography","Percent..COMMUTING.TO.WORK...Car..truck..or.van....drove.alone","Percent..COMMUTING.TO.WORK...Car..truck..or.van....carpooled","Percent..COMMUTING.TO.WORK...Public.transportation..excluding.taxicab.","Percent..COMMUTING.TO.WORK...Walked","Percent..COMMUTING.TO.WORK...Other.means","Percent..COMMUTING.TO.WORK...Worked.at.home","Estimate..COMMUTING.TO.WORK...Mean.travel.time.to.work..minutes."
"Miami Beach city, Florida","50.8","5.9","13.4","13.9","8.0","8.0",25.8
"Miami Gardens city, Florida","78.2","9.9","8.4","1.2","0.4","1.9",30.3
"Miramar city, Florida","84.6","8.3","2.6","0.3","0.7","3.5",29.5
"Orlando city, Florida","79.3","8.6","5.0","1.8","2.2","3.1",24.1
"Palm Bay city, Florida","84.5","9.8","0.0","0.9","2.8","1.9",27.5
"Palm Coast city, Florida","79.1","11.3","0.5","1.3","2.4","5.4",27.7
"Pembroke Pines city, Florida","82.8","9.7","1.0","0.6","0.6","5.3",28.6
"Pine Hills CDP, Florida","N","N","N","N","N","N",32.9
"Plantation city, Florida","83.8","6.7","2.2","0.4","0.4","6.5",26
"Pompano Beach city, Florida","70.8","14.1","5.5","1.5","3.7","4.4",25.1
"Port St. Lucie city, Florida","80.5","8.4","0.1","0.7","2.2","8.1",29.8
"Riverview CDP, Florida","84.3","7.2","0.7","2.1","1.3","4.3",30
"St. Petersburg city, Florida","80.1","8.5","2.4","2.0","2.2","4.7",22.2
"Spring Hill CDP, Florida","82.8","11.2","0.7","0.9","0.6","3.8",28.3
"Sunrise city, Florida","81.7","10.0","1.7","0.7","0.9","4.9",27.4
"Tallahassee city, Florida","82.6","6.9","2.6","3.1","2.1","2.6",18.2
"Tampa city, Florida","77.4","9.5","2.5","3.0","2.6","5.1",22.9
"Town 'n' Country CDP, Florida","76.2","14.4","1.4","0.8","1.6","5.6",25.3
"Weston city, Florida","84.7","6.3","0.5","0.2","1.3","7.1",31.6
"West Palm Beach city, Florida","77.3","7.9","3.3","3.3","1.1","7.0",23.5
"Albany city, Georgia","74.9","13.8","1.8","5.5","0.5","3.6",15.7
"Athens-Clarke County unified government (balance), Georgia","78.2","8.8","2.6","5.5","2.8","2.0",19.9
